TimeFrame,DateTime,Year_Quarter,Time_Period,Year,Quarter,Location Id,Territorial_Authority,Dwelling Type,Number Of Beds,Median Rent,Geometric Mean Rent,Upper Quartile Rent,Lower Quartile Rent,Active Bonds,Total Bonds,Closed Bonds
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,120000.0,Auckland,House,3,660.0,659.0,678.0,643.0,51,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,120200.0,Auckland,House,3,690.0,698.0,705.0,680.0,69,6,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,120400.0,Auckland,House,3,600.0,615.0,625.0,590.0,171,21,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,120500.0,Auckland,House,3,710.0,753.0,785.0,700.0,69,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,120600.0,Auckland,House,3,525.0,515.0,543.0,501.0,147,18,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,120800.0,Auckland,House,3,665.0,673.0,710.0,633.0,42,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,120900.0,Auckland,House,3,535.0,542.0,596.0,506.0,114,6,18
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,121000.0,Auckland,House,3,600.0,591.0,610.0,575.0,156,15,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,121200.0,Auckland,House,3,610.0,614.0,640.0,575.0,141,15,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,121300.0,Auckland,House,3,630.0,653.0,675.0,605.0,150,21,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,121500.0,Auckland,House,3,588.0,594.0,609.0,573.0,180,15,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,121600.0,Auckland,House,3,540.0,551.0,564.0,515.0,129,9,18
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,121800.0,Auckland,House,3,588.0,648.0,603.0,565.0,123,12,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,121900.0,Auckland,House,3,585.0,586.0,633.0,550.0,189,15,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,122100.0,Auckland,House,3,580.0,569.0,600.0,580.0,117,9,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,122200.0,Auckland,House,3,700.0,606.0,743.0,598.0,39,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,122300.0,Auckland,House,3,530.0,548.0,570.0,515.0,111,9,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,122400.0,Auckland,House,3,580.0,581.0,613.0,550.0,141,18,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,122500.0,Auckland,House,3,530.0,528.0,550.0,490.0,132,15,15
